article,name,unit,price,manufacturer,supplier,category,discount,quantity,description,photo
А112Т4,"Велосипед взрослый горный Slash Stream 27.5 колеса (2025) 17"" Черный (162-172 см)",шт.,19775,ВелоСтрана,Slash,Велосипед взрослый горный,30,15,Горный велосипед Slash Stream 27.5 (2025) – легкий и надежный компаньон для поездок по пересеченной местности. Мощные шатуны интенсивно передают усилия мышц на вал каретки. ,1.jpg
G843H5,"Велосипед взрослый горный Slash Stream 27.5 колеса (2025) 19"" Синий (172-182 см)",шт.,19791,ВелоСтрана,Slash,Велосипед взрослый горный,30,9,В комплектацию включены дисковые механические тормоза RPT DSC-310. Особый упор разработчики рамы данной модели сделали на увеличение прочности мест наибольшей нагрузки. ,2.jpg
D325D4,Велосипед городской подростковый серый,шт.,9919,ЯндексМаркет,Shimano,Велосипед городской подростковый,5,12,"Городской подростковый велосипед - идеальный выбор для активного образа жизни!
Откройте для себя комфорт и свободу передвижения с нашим стильным городским велосипедом. ",3.jpg
S432T5,"Велосипед Skill Bike 3051, городской, 21 скорость, сталь, 29"" колеса, черно-красный",шт.,16442,Скилс,Skill bike,Велосипед городской взрослый,15,15,"SKILL BIKE модель 3051 - горный велосипед на спицах, обеспечивающий уверенную и комфортную езду как по городским улицам, так и по горной местности.",4.jpg
F325D4,"Велосипед Skillbike 3052, горный, складной, рама 17 дюймов, колеса 26 дюймов, 21 скорость",шт.,17985,Скилс,Skill bike,Велосипед взрослый горный,18,50,"SKILL BIKE модель 3052 - велосипед складной, предназначен для тех, кто ценит комфорт, стиль и максимальную мобильность. Горный велосипед легко помещается в багажник и идеально подходит для активных поездок в городской суете.",5.jpg
G432G6,"Велосипед Skill Bike 3053, горный, двухподвесный, рама 17 дюймов, колеса 26 дюймов, 21 скорость",шт.,17621,Скилс,Skill bike,Велосипед взрослый горный,20,0,"SKILL BIKE модель 3053 - горный велосипед на литых дисках, имеет амортизаторы как на переднем, так и на заднем колесе.",6.jpg
H542F5,"Велосипед MILANO M300, горный, для взрослых, 26"", 7 скоростей",шт.,13509,ПерспективаГрупп,NEXT,Велосипед взрослый горный,4,5,"Горный велосипед MILANO M300 с диаметром колес 26 дюйма подойдет для подростков и взрослых, без усилий позволит преодолевать любые непроходимые каменистые поверхности и зоны бездорожья.",7.jpg
C346F5,"Горный велосипед скоростной, колёса 24"", рама - 14"", черно-красный",шт.,15212,ПерспективаГрупп,"
Aero",Велосипед детский горный,5,4,Горный велосипед – это надежный и стильный выбор для любителей активного отдыха. Удобное седло из искусственной кожи и наличие подножки добавляют удобства во время поездок.,8.jpg
F256G6,"26"" Велосипед Fizard, 15"" алюминий, дисковые тормоза, 21 скорость, серый",шт.,15126,ПерспективаГрупп,Fizard,Велосипед детский горный,25,3,Горный велосипед Fizard — надёжный универсальный маунтинбайк для города и бездорожья.,9.jpg
J532V5,"Велосипед двухколесный детский 14 дюймов, со светящимися колесами, черный",шт.,6417,kari,kari,Велосипед детский городской,8,6,"
Велосипед двухколесный детский 14 дюймов от Kari - это надежный и безопасный транспорт для вашего ребенка.",
